x y z
0.101010 1.565657 -0.989238
0.101010 1.616162 -1.033626
0.101010 1.666667 -1.075379
0.101010 1.717172 -1.114390
0.101010 1.767677 -1.150558
0.101010 1.818182 -1.183792
0.101010 1.868687 -1.214007
0.101010 1.919192 -1.241127
0.101010 1.969697 -1.265081
0.101010 2.020202 -1.285809
0.101010 2.070707 -1.303258
0.101010 2.121212 -1.317383
0.101010 2.171717 -1.328149
0.101010 2.222222 -1.335527
0.101010 2.272727 -1.339500
0.101010 2.323232 -1.340057
0.101010 2.373737 -1.337196
0.101010 2.424242 -1.330925
0.101010 2.474747 -1.321260
0.101010 2.525253 -1.308225
0.101010 2.575758 -1.291855
0.101010 2.626263 -1.272189
0.101010 2.676768 -1.249280
0.101010 2.727273 -1.223184
0.101010 2.777778 -1.193969
0.101010 2.828283 -1.161709
0.101010 2.878788 -1.126487
0.101010 2.929293 -1.088391
0.101010 2.979798 -1.047520
0.101010 3.030303 -1.003978
0.101010 3.080808 -0.957875
0.101010 3.131313 -0.909330
0.101010 3.181818 -0.858465
0.101010 3.232323 -0.805412
0.101010 3.282828 -0.750304
0.101010 3.333333 -0.693283
0.101010 3.383838 -0.634494
0.101010 3.434343 -0.574086
0.101010 3.484848 -0.512215
0.101010 3.535354 -0.449037
0.101010 3.585859 -0.384715
0.101010 3.636364 -0.319411
0.101010 3.686869 -0.253293
0.101010 3.737374 -0.186528
0.101010 3.787879 -0.119288
0.101010 3.838384 -0.051744
0.101010 3.888889 0.015932
0.101010 3.939394 0.083568
0.101010 3.989899 0.150990
0.101010 4.040404 0.218028
0.101010 4.090909 0.284509
0.101010 4.141414 0.350265
0.101010 4.191919 0.415127
0.101010 4.242424 0.478931
0.101010 4.292929 0.541514
0.101010 4.343434 0.602715
0.101010 4.393939 0.662380
0.101010 4.444444 0.720355
0.101010 4.494949 0.776493
0.101010 4.545455 0.830651
0.101010 4.595960 0.882691
0.101010 4.646465 0.932480
0.101010 4.696970 0.979890
0.101010 4.747475 1.024802
0.101010 4.797980 1.067100
0.101010 4.848485 1.106677
0.101010 4.898990 1.143431
0.101010 4.949495 1.177270
0.101010 5.000000 1.208106
0.121212 0.000000 0.879083
0.121212 0.050505 0.827939
0.121212 0.101010 0.774683
0.121212 0.151515 0.719452
0.121212 0.202020 0.662386
